dataset,k,seed,layer,attribute,mi_nats,num_pairs,clusters_used
LMD-matched,1000,97,7,Velocity,0.3533346257942917,4472244,977
LMD-matched,1000,97,8,Velocity,0.4346308298706424,4472244,981
LMD-matched,1000,97,9,Velocity,0.2592484732590738,4472244,1000
LMD-matched,1000,97,10,Velocity,0.2155929666150862,4472244,998
LMD-matched,1000,97,11,Velocity,0.2542486120426614,4472244,1000
LMD-matched,1000,97,12,Velocity,0.9922125877294256,4472244,1000
LMD-matched,2000,1,1,Bar,0.1061132594523087,17182797,2000
LMD-matched,2000,1,2,Bar,0.1774633101155479,17182797,2000
LMD-matched,2000,1,3,Bar,0.1731547838374392,17182797,2000
LMD-matched,2000,1,4,Bar,0.2128547121235847,17182797,1998
LMD-matched,2000,1,5,Bar,0.2476367543421899,17182797,1996
LMD-matched,2000,1,6,Bar,0.2190341991505978,17182797,1937
LMD-matched,2000,1,7,Bar,0.1778710921029101,17182797,1880
LMD-matched,2000,1,8,Bar,0.1765812525776241,17182797,1892
LMD-matched,2000,1,9,Bar,0.2297221789404724,17182797,1998
LMD-matched,2000,1,10,Bar,0.1927682381814773,17182797,1998
LMD-matched,2000,1,11,Bar,0.1144991983095407,17182797,1998
LMD-matched,2000,1,12,Bar,0.0794158931028216,17182797,1997
LMD-matched,2000,1,1,Duration,1.7597150469477068,17182797,2000
LMD-matched,2000,1,2,Duration,1.1577026001269646,17182797,2000
LMD-matched,2000,1,3,Duration,1.2861011124723676,17182797,2000
LMD-matched,2000,1,4,Duration,0.8355779854171669,17182797,1998
LMD-matched,2000,1,5,Duration,0.8055090057726432,17182797,1996
LMD-matched,2000,1,6,Duration,0.7546643265102176,17182797,1937
LMD-matched,2000,1,7,Duration,0.8541679636537449,17182797,1880
LMD-matched,2000,1,8,Duration,0.784942002985654,17182797,1892
LMD-matched,2000,1,9,Duration,0.6885831496159774,17182797,1998
LMD-matched,2000,1,10,Duration,0.770961328524704,17182797,1998
LMD-matched,2000,1,11,Duration,0.8850517861638239,17182797,1998
LMD-matched,2000,1,12,Duration,1.3595218085149523,17182797,1997
LMD-matched,2000,1,1,Pitch,2.3109519816060544,17182797,2000
LMD-matched,2000,1,2,Pitch,2.15469542702021,17182797,2000
LMD-matched,2000,1,3,Pitch,2.026715086450364,17182797,2000
LMD-matched,2000,1,4,Pitch,2.266550511236786,17182797,1998
LMD-matched,2000,1,5,Pitch,1.688916454326371,17182797,1996
LMD-matched,2000,1,6,Pitch,1.5523741157593487,17182797,1937
LMD-matched,2000,1,7,Pitch,1.5973421582558878,17182797,1880
LMD-matched,2000,1,8,Pitch,1.737093930476976,17182797,1892
LMD-matched,2000,1,9,Pitch,2.296271125503012,17182797,1998
LMD-matched,2000,1,10,Pitch,2.5221618497193634,17182797,1998
LMD-matched,2000,1,11,Pitch,3.1168663683647218,17182797,1998
LMD-matched,2000,1,12,Pitch,3.483095676867676,17182797,1997
LMD-matched,2000,1,1,Position,0.9909838785212766,17182797,2000
LMD-matched,2000,1,2,Position,2.038830715721222,17182797,2000
LMD-matched,2000,1,3,Position,2.3398373816629183,17182797,2000
LMD-matched,2000,1,4,Position,2.2537660995906665,17182797,1998
LMD-matched,2000,1,5,Position,2.515784673341495,17182797,1996
LMD-matched,2000,1,6,Position,2.4115866057692243,17182797,1937
LMD-matched,2000,1,7,Position,2.331173197801692,17182797,1880
LMD-matched,2000,1,8,Position,2.1737914202137496,17182797,1892
LMD-matched,2000,1,9,Position,2.311306499118007,17182797,1998
LMD-matched,2000,1,10,Position,2.585358535027,17182797,1998
LMD-matched,2000,1,11,Position,2.47575642886528,17182797,1998
LMD-matched,2000,1,12,Position,0.9105686545218492,17182797,1997
LMD-matched,2000,1,1,Instrument,1.5548744392757226,17182797,2000
LMD-matched,2000,1,2,Instrument,1.452654580171416,17182797,2000
LMD-matched,2000,1,3,Instrument,1.2510652689719908,17182797,2000
LMD-matched,2000,1,4,Instrument,1.17775177600016,17182797,1998
LMD-matched,2000,1,5,Instrument,1.1901825795073966,17182797,1996
LMD-matched,2000,1,6,Instrument,1.2155725044752117,17182797,1937
LMD-matched,2000,1,7,Instrument,1.2536347028240729,17182797,1880
LMD-matched,2000,1,8,Instrument,1.2290124360475203,17182797,1892
LMD-matched,2000,1,9,Instrument,1.2769079747619152,17182797,1998
LMD-matched,2000,1,10,Instrument,1.2131709566719258,17182797,1998
LMD-matched,2000,1,11,Instrument,1.1221821449908855,17182797,1998
LMD-matched,2000,1,12,Instrument,1.422064997076176,17182797,1997
LMD-matched,2000,1,1,Tempo,0.1237421765346436,17182797,2000
LMD-matched,2000,1,2,Tempo,0.0909057259297063,17182797,2000
LMD-matched,2000,1,3,Tempo,0.0841656616305815,17182797,2000
LMD-matched,2000,1,4,Tempo,0.0738832323580955,17182797,1998
LMD-matched,2000,1,5,Tempo,0.084110429983691,17182797,1996
LMD-matched,2000,1,6,Tempo,0.0891299803035631,17182797,1937
LMD-matched,2000,1,7,Tempo,0.108314607226397,17182797,1880
LMD-matched,2000,1,8,Tempo,0.0978905845559673,17182797,1892
LMD-matched,2000,1,9,Tempo,0.1129910080731519,17182797,1998
LMD-matched,2000,1,10,Tempo,0.1159614829761724,17182797,1998
LMD-matched,2000,1,11,Tempo,0.1186770008459527,17182797,1998
LMD-matched,2000,1,12,Tempo,0.2613847574245259,17182797,1997
LMD-matched,2000,1,1,Time signature,0.0451663039752073,17182797,2000
LMD-matched,2000,1,2,Time signature,0.0452117734375246,17182797,2000
LMD-matched,2000,1,3,Time signature,0.0458455474188545,17182797,2000
LMD-matched,2000,1,4,Time signature,0.0399242924561443,17182797,1998
LMD-matched,2000,1,5,Time signature,0.0482281711857347,17182797,1996
LMD-matched,2000,1,6,Time signature,0.0478015564681526,17182797,1937
LMD-matched,2000,1,7,Time signature,0.0545637839029753,17182797,1880
LMD-matched,2000,1,8,Time signature,0.0482768598306356,17182797,1892
LMD-matched,2000,1,9,Time signature,0.0506569344773075,17182797,1998
LMD-matched,2000,1,10,Time signature,0.0522285850566677,17182797,1998
LMD-matched,2000,1,11,Time signature,0.0505495654628664,17182797,1998
LMD-matched,2000,1,12,Time signature,0.0915573095572977,17182797,1997
LMD-matched,2000,1,1,Velocity,0.7401486652926216,17182797,2000
LMD-matched,2000,1,2,Velocity,0.7148629304803222,17182797,2000
LMD-matched,2000,1,3,Velocity,0.4873836455640712,17182797,2000
LMD-matched,2000,1,4,Velocity,0.2610218039822573,17182797,1998
LMD-matched,2000,1,5,Velocity,0.1924398226390385,17182797,1996
LMD-matched,2000,1,6,Velocity,0.5845160323301779,17182797,1937
LMD-matched,2000,1,7,Velocity,0.6050243927531898,17182797,1880
LMD-matched,2000,1,8,Velocity,0.6906326381653827,17182797,1892
LMD-matched,2000,1,9,Velocity,0.5879181587301562,17182797,1998
LMD-matched,2000,1,10,Velocity,0.5095318031388028,17182797,1998
LMD-matched,2000,1,11,Velocity,0.5284529992787869,17182797,1998
LMD-matched,2000,1,12,Velocity,1.2797721023875903,17182797,1997
LMD-matched,2000,2,1,Bar,0.1052209517346163,17182797,2000
LMD-matched,2000,2,2,Bar,0.1612726584868822,17182797,2000
LMD-matched,2000,2,3,Bar,0.1708675245840139,17182797,2000
LMD-matched,2000,2,4,Bar,0.2138860879532955,17182797,1999
LMD-matched,2000,2,5,Bar,0.2532527818990824,17182797,1992
LMD-matched,2000,2,6,Bar,0.2191883510041551,17182797,1980
LMD-matched,2000,2,7,Bar,0.1746639893899267,17182797,1888
LMD-matched,2000,2,8,Bar,0.1679437779927561,17182797,1904
LMD-matched,2000,2,9,Bar,0.2239106497885486,17182797,2000
LMD-matched,2000,2,10,Bar,0.1920195545273802,17182797,1999
LMD-matched,2000,2,11,Bar,0.1141017810793967,17182797,1999
LMD-matched,2000,2,12,Bar,0.080748143087489,17182797,1998
LMD-matched,2000,2,1,Duration,1.7705428600769362,17182797,2000
LMD-matched,2000,2,2,Duration,1.1873250171834873,17182797,2000
LMD-matched,2000,2,3,Duration,1.289397011498156,17182797,2000
LMD-matched,2000,2,4,Duration,0.8472936471772862,17182797,1999
LMD-matched,2000,2,5,Duration,0.8036617826794257,17182797,1992
LMD-matched,2000,2,6,Duration,0.7485207540516562,17182797,1980
LMD-matched,2000,2,7,Duration,0.8573326752911766,17182797,1888
LMD-matched,2000,2,8,Duration,0.7920678281397691,17182797,1904
LMD-matched,2000,2,9,Duration,0.6911798662773081,17182797,2000
LMD-matched,2000,2,10,Duration,0.7646129908241434,17182797,1999
LMD-matched,2000,2,11,Duration,0.8761064145628918,17182797,1999
LMD-matched,2000,2,12,Duration,1.330649516167302,17182797,1998
